NOMBRE;LINK
SOCIEDAD AGRICOLA E INDUSTRIAL SAN CARLOS SA;https://ec.linkedin.com/company/sociedad-agr-cola-e-industrial-san-carlos-?trk=companies_directory
NEGOCIOS INDUSTRIALES REAL N.I.R.   ;https://ec.linkedin.com/company/negocios-industriales-real-nirsa-s-a?trk=companies_directory
REYBANPAC REY BANANO DEL PACIFICO C.L.;https://www.linkedin.com/company/reybanpac/?originalSubdomain=ec
AMOVECUADOR  ;
ALMACENES DE PRATI SA;https://ec.linkedin.com/company/almacenes-de-prati-?trk=companies_directory
PTIE- PHOENIX TOWER INTERNATIONAL ECUADOR  ;https://www.linkedin.com/company/phoenix-tower-international/?originalSubdomain=ec
GISIS  ;https://ec.linkedin.com/company/gisis-s-a-?trk=companies_directory
INTERNATIONAL WATER SERVICES ( GUAYAQUIL ) INTERAGUA C. LTDA.;https://ec.linkedin.com/company/interagua-ec?trk=companies_directory
ENAP SIPETROL  ;https://www.linkedin.com/company/enap-sipetrol-s.a./?originalSubdomain=ec
ALMACENES JUAN ELJURI CIA. LTDA.;https://ec.linkedin.com/company/juaneljuri?trk=companies_directory
DINADEC  ;
EMPRESA ELECTRICA AMBATO REGIONAL CENTRO NORTE  ;
GERARDO ORTIZ E HIJOS C LTDA;https://www.linkedin.com/company/gerardo-ortiz-e-hijos/
SUDAMERICANA INTEGRAL DE CONSTRUCCIONES SUDINCO  ;https://www.linkedin.com/in/sudamericana-integral-de-construcciones-sudinco-s-a-85a505171/?originalSubdomain=ec
CANEYBI CORP  ;
PLUSPETROL ECUADOR B.V.;https://www.linkedin.com/company/pluspetrol/?originalSubdomain=ec
CNPC CHUANQING DRILLING ENGINEERING COMPANY LIMITED;https://www.linkedin.com/company/cnpc-chuanqing-drilling-engineering-company-limited-ccdc-/?originalSubdomain=ec
HALLIBURTON LATIN AMERICA S.R.L.;https://www.linkedin.com/company/halliburton/?originalSubdomain=ec
CONTECON GUAYAQUIL  ;https://ec.linkedin.com/company/contecon-guayaquil?trk=companies_directory
MANESIL  ;
OLEODUCTO DE CRUDOS PESADOS (OCP) ECUADOR  ;https://www.linkedin.com/company/ocp-ecuador/
MAQUINARIAS Y VEHICULOS   MAVESA;https://ec.linkedin.com/company/grupo-mavesa?trk=companies_directory
OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS OMARSA SA;https://ec.linkedin.com/company/omarsa-shrimp?trk=companies_directory
NOVACERO S.A;https://ec.linkedin.com/company/novacero-s-a-?trk=companies_directory
FARMACIAS Y COMISARIATOS DE MEDICINAS SA FARCOMED;https://www.linkedin.com/company/farmacias-y-comisariatos-de-medicinas-s.a/
COMERCIAL KYWI SA;https://ec.linkedin.com/company/comercial-kywi-s-a-?trk=companies_directory
LA GANGA R.C.A.  ;https://ec.linkedin.com/company/almacenes-la-ganga?trk=companies_directory
LETERAGO DEL ECUADOR S.A;https://ec.linkedin.com/company/leterago-del-ecuador-talento-humano?trk=companies_directory
AGROAZUCAR ECUADOR  ;https://ec.linkedin.com/company/corporaci%C3%B3n-azucarera-ecuatoriana-ingenio-la-troncal?trk=companies_directory
INMOBILIARIA LAVIE SA;
SERVICIOS PETROLEROS IGAPÓ  ;
COMPANIA AZUCARERA VALDEZ SA;https://ec.linkedin.com/company/azucarera-valdez?trk=companies_directory
AC BEBIDAS, S. DE R.L. DE C.V.;https://www.linkedin.com/company/arca-continental/people/?keywords=ecuador
NESTLE ECUADOR  ;https://www.linkedin.com/company/nestle-s-a-/people/?facetGeoRegion=ec%3A0
TELCONET  ;https://ec.linkedin.com/company/telconet?trk=companies_directory
INT FOOD SERVICES CORP  ;https://www.linkedin.com/company/gurpo-kfc-ecuador/?originalSubdomain=ec
HOTELES DECAMERON ECUADOR  ;https://www.linkedin.com/company/decameronhotels/people/?facetGeoRegion=ec%3A0
SUPERDEPORTE  ;https://ec.linkedin.com/company/explorer-ecuador.com?trk=companies_directory
GENERAL MOTORS DEL ECUADOR SA;https://www.linkedin.com/company/general-motors/people/?facetGeoRegion=ec%3A0&keywords=ecuador
SASETAF  ;
INDUSTRIAS LACTEAS TONI SA;https://ec.linkedin.com/company/industriasl-l-cteas-toni?trk=companies_directory
SURPAPELCORP  ;https://www.linkedin.com/company/productora-cartonera-s.a./?originalSubdomain=ec
MARCIMEX  ;https://ec.linkedin.com/company/marcimex?trk=companies_directory
NOVOPAN DEL ECUADOR SA;https://ec.linkedin.com/company/novopan-per%C3%BA-sac?trk=companies_directory
PETROORIENTAL  ;
IPAC S.A;https://www.linkedin.com/company/ipac-s.a./people/
IMPORTADORA TOMEBAMBA  ;https://ec.linkedin.com/company/importadora-tomebamba-s-a?trk=companies_directory
PRODUCTORA CARTONERA  ;https://ec.linkedin.com/company/productora-cartonera-s-a-?trk=companies_directory
CRS RESOURCES (ECUADOR) LDC;
INDUSTRIAS ALES CA;https://ec.linkedin.com/company/industrias-ales-c.a?trk=companies_directory
ECUAQUIMICA ECUATORIANA DE PRODUCTOS QUIMICOS CA;https://ec.linkedin.com/company/ecuaquimica?trk=companies_directory
SINOPEC INTERNATIONAL PETROLEUM SERVICE ECUADOR  ;https://ec.linkedin.com/company/sinopec-international-petroleum-service-ecuador?trk=companies_directory
CRECOSCORP  ;https://ec.linkedin.com/company/grupo-crecos?trk=companies_directory
CARTONES NACIONALES   I CARTOPEL;https://ec.linkedin.com/company/cartopel-sai?trk=companies_directory
UNICOMER DE ECUADOR  ;https://www.linkedin.com/company/grupo-unicomer/people/?facetGeoRegion=ec%3A0
BEBIDAS ARCACONTINENTAL ECUADOR ARCADOR  ;https://ec.linkedin.com/company/arcacontinentalec?trk=companies_directory
SERVICIOS DE TELECOMUNICACIONES SETEL S.A;https://www.linkedin.com/company/setel-s.a./
IASA  ;https://www.linkedin.com/company/iasaglobal/?originalSubdomain=ec
FABRICA DE ENVASES   FADESA;https://ec.linkedin.com/company/fadesa?trk=companies_directory
INDUSTRIAL DANEC SA;https://ec.linkedin.com/company/industrial-danec-s-a?trk=companies_directory
OMNIBUS BB TRANSPORTES SA;
HOLDING TONICORP  ;https://www.linkedin.com/company/tonicorp/?originalSubdomain=ec
AUTOMOTORES Y ANEXOS   (A.Y.A. );https://ec.linkedin.com/company/automotores-y-anexos-s-a-?trk=companies_directory
PAPELERA NACIONAL SA;https://ec.linkedin.com/company/papelera-nacional-s-a-?trk=companies_directory
UNILEVER ANDINA ECUADOR  ;https://www.linkedin.com/company/unilever/people/?facetGeoRegion=ec%3A0&keywords=ecuador
CONSENSOCORP  ;https://www.linkedin.com/company/grupoconsenso/
AQUACARGILL DEL ECUADOR CIA.LTDA.;
DEGELI  ;
KAMANA SERVICES  ;
INDUGLOB S. A.;https://www.linkedin.com/company/indurama/?originalSubdomain=ec
CONTINENTAL TIRE ANDINA S. A.;https://www.linkedin.com/company/continental/people/?facetGeoRegion=ec%3A0
AB INBEV HOLDING ECUADOR AB-INBEV  S.;https://www.linkedin.com/company/cervecerianacional/?originalSubdomain=ec
INDUSTRIAL MOLINERA CA;https://ec.linkedin.com/company/industrial-molinera?trk=companies_directory
FARMAENLACE CIA. LTDA;https://ec.linkedin.com/company/farmaenlance?trk=companies_directory
PRIMAX COMERCIAL DEL ECUADOR SOCIEDAD ANONIMA;https://ec.linkedin.com/company/primax-s.a?trk=companies_directory
HOLDING SOLA & SOLA SOLACCIONES  ;
CORPORACION MULTIBG  ;
ENVASES DEL LITORAL SA;
PRODUMAR SA;https://www.linkedin.com/in/produmar-sa-17188a171/
''CONSORCIO LÍNEA 1'' - METRO DE QUITO: ACCIONA;
SERVICIOS INTEGRADOS PAÑATURI  ;
MOONHOLD  ;
INARPI  ;https://www.linkedin.com/company/terminal-portuario-de-guayaquil-tpg/
REYLACTEOS C.L.;
SUMESA S. A.;https://www.linkedin.com/company/sumesa-s.a./people/?facetGeoRegion=ec%3A0
UNIVERSAL SWEET INDUSTRIES  ;https://www.linkedin.com/company/universal-sweet-industries/
YILPORT TERMINAL OPERATIONS (YILPORTECU)  ;https://ec.linkedin.com/company/yilport-holding-inc?trk=companies_directory
ORIENTAL INDUSTRIA ALIMENTICIA ''O.I.A.''  ;https://www.linkedin.com/company/oriental-industria-alimenticia-oia-s-a/
INMOBILIARIA MERIDIONAL   INMERISA;
CHINA INTERNATIONAL WATER & ELECTRIC CORP. -CWE-;https://www.linkedin.com/company/cwe-beijing/people/?facetGeoRegion=ec%3A0
EUROFISH  ;https://ec.linkedin.com/company/eurofish-s-a?trk=companies_directory
NOBOA TRADING CO TCN  ;https://www.linkedin.com/company/grupo-noboa-global-brands/
SAN MIGUEL INDUSTRIAS ECUADOR SANMINDEC  ;
PRODUCTOS FAMILIA SANCELA DEL ECUADOR S.A;https://www.linkedin.com/company/grupo-familia/people/?facetGeoRegion=ec%3A0
PROMARISCO SA;https://www.linkedin.com/company/promarisco-s.a.-grupo-pescanova-/
GRUPASA GRUPO PAPELERO CIA.LTDA.;https://www.linkedin.com/company/grupasa-grupo-papelero/people/
CONCESIONARIA NORTE CONORTE  ;
CORPORACION SUPERIOR CORSUPERIOR  ;https://www.linkedin.com/company/corporaci%C3%B3n-superior/
MODERNA ALIMENTOS  ;https://www.linkedin.com/company/moderna-alimentos/
LATAM-AIRLINES ECUADOR  ;https://www.linkedin.com/company/latam_airlines/people/?facetGeoRegion=ec%3A0
CAMPOSANTOS DEL ECUADOR   CAMPOECUADOR;
GRUPO AZUCARERO EQ2  ;
PANAMERICANA VIAL   PANAVIAL;https://www.linkedin.com/in/panamericana-vial-panavial-s-a-754903206/
VITAPRO ECUADOR CIA. LTDA.;https://www.linkedin.com/company/vitapro-s.a./people/
COMPANIA VERDU SA;
COMERCIAL ETATEX C.A.;https://www.linkedin.com/company/etafashion/people/?facetGeoRegion=ec%3A0
COMOHOGAR SA;
CANAL DE GUAYAQUIL CGU  ;
FERTISA AGIF C.L.;https://ec.linkedin.com/company/fertisa-agif-cl?trk=companies_directory
INBALNOR S. A.;
PLASTICOS RIVAL CIA LTDA;
CUBIERTAS DEL ECUADOR KU-BIEC  ;https://www.linkedin.com/company/kubiec/
AVICOLA SAN ISIDRO   AVISID;
PLASTICOS DEL LITORAL PLASTLIT  ;
SALICA DEL ECUADOR  ;https://ec.linkedin.com/company/salica-del-ecuador-s-a?trk=companies_directory
ICESA  ;https://ec.linkedin.com/company/icesa-?trk=companies_directory
FARIBALL HOLDING CORP. C.A. FARIBALLCORP;
NATURISA S. A.;https://www.linkedin.com/company/naturisa-ec/
PALMERAS DE LOS ANDES SA;
QUIFATEX SA;https://www.linkedin.com/company/quifatex/
INTEROC  ;https://www.linkedin.com/company/interoc-custer/people/
SCHLUMBERGER SURENCO SA;
PROPIEDADES AGRO INDUSTRIALES SURCO ACTIVO SA;
ZAIMELLA DEL ECUADOR SOCIEDAD ANONIMA;https://www.linkedin.com/company/zaimella/
EDESA SA;https://www.linkedin.com/company/edesa/
HIDROALTO GENERACION DE ENERGIA  ;
PLANTACIONES DE BALSA PLANTABAL SA;
MEGA SANTAMARIA  ;https://www.linkedin.com/company/supermercados-santa-mar%C3%ADa/
ISLAS GALAPAGOS TURISMO Y VAPORES CA;
PARDALISERVICES  ;
LIRIS S. A.;https://ec.linkedin.com/company/liris-s-a?trk=companies_directory
SERVICE OIL ECUADOR ECUASERVOIL  ;
GRAIMAN CIA. LTDA.;https://www.linkedin.com/company/graiman/
HIDRONORMANDIA  ;
COMPANIA AGRICOLA LA JULIA S. A.;
HIDROSANBARTOLO  ;
ROCHE ECUADOR  ;https://www.linkedin.com/showcase/roche-ecuador/
AGLOMERADOS COTOPAXI SOCIEDAD ANONIMA;
CHINA ROAD AND BRIDGE CORPORATION;
ECONOFARM  ;https://www.linkedin.com/company/econofarm/people/
CONCESIONARIA DEL GUAYAS CONCEGUA  ;
TERMINAL AEROPORTUARIA DE GUAYAQUIL   TAGSA;https://www.linkedin.com/company/terminal-aeroportuaria-de-guayaquil-s-a-tagsa/
PYCCA  ;https://www.linkedin.com/company/almacenespycca/
QUITO MOTORS SA COMERCIAL E INDUSTRIAL;https://www.linkedin.com/company/ford-quito-motors/
ENERGY & PALMA ENERGYPALMA  ;
SERVICIO DE ADMINISTRACION DE BIENES DIBIENS  ;https://www.linkedin.com/company/dibiens-inmobiliaria/
BEVERAGE BRAND & PATENTS COMPANY BBPC  ;
GUAYATUNA  ;
CONSERVAS ISABEL ECUATORIANA  ;
SOCIEDAD NACIONAL DE GALAPAGOS CA;
EXPALSA EXPORTADORA DE ALIMENTOS SA;https://www.linkedin.com/company/expalsa/
COMPANIA DE ELABORADOS DE CAFE ELCAFE C.A.;https://www.linkedin.com/company/compa-ia-de-elaborados-de-caf-elcaf-c-a-/
SERTECPET  ;https://www.linkedin.com/company/sertecpet/
CONJUNTO CLINICO NACIONAL CONCLINA CA;
CENTRIDAGSA  ;
CORPORACION CELESTE CIA.LTDA. CORPACEL;https://www.linkedin.com/company/corpacel/about/
MEISTERBLUE CIA.LTDA.;
FISA FUNDICIONES INDUSTRIALES SA;
REYBOSQUES C.L.;
FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L.;https://www.linkedin.com/company/fertisa-agif-cl/
HUAWEI TECHNOLOGIES CO. LTD.;
INTEGRACION AVICOLA ORO  ;
WAYRAENERGY  ;https://www.linkedin.com/company/wayraenergy/
CNO  ;
INMOBILIARIA DEL SOL   MOBILSOL;
SINOHYDRO CORPORATION LIMITED;https://www.linkedin.com/company/sinohydro/people/?facetGeoRegion=ec%3A0
ORIONOIL ER  ;
AGROINDUSTRIAS DAJAHU  ;
PROYECTOS ENERGETICOS ECUAGESA  ;https://www.linkedin.com/company/ecuagesa/people/
GENTE OIL ECUADOR PTE.LTD.;https://www.linkedin.com/company/gente-oil-ecuador/
MAREAUTO  ;https://www.linkedin.com/company/renting-mareauto-avis/
IN.CAR.PALM. INDUSTRIA CARTONERA PALMAR  ;https://www.linkedin.com/company/incarpalm/
MEGADATOS  ;https://www.linkedin.com/company/netlife-ecuador/
LINDE ECUADOR  ;
HIDROABANICO  ;
ELITENERGY GENERACION ELECTRICA  ;
ALIMENTSA S.A;https://www.linkedin.com/company/alimentsa-dietas-y-alimentos-s-a-/about/
REPSOL ECUADOR  ;https://www.linkedin.com/company/repsol/people/?facetGeoRegion=ec%3A0
VICUNHA ECUADOR  ;
CASABACA  ;https://ec.linkedin.com/company/casabaca-?trk=companies_directory
ALESSA  ;https://ec.linkedin.com/company/alessa-s-a?trk=companies_directory
SBA TORRES ECUADOR SBAEC  ;
GOMILGROUP  ;
BAYER  ;
LATAM AIRLINES GROUP  ;https://www.linkedin.com/company/latam_airlines/people/?facetGeoRegion=ec%3A0
MEXICHEM ECUADOR  ;
TRECX  ;https://www.linkedin.com/company/trecx-cia-ltda/
CHAIDE Y CHAIDE SA;https://www.linkedin.com/company/chaide-y-chaide-s-a-/
INTACO ECUADOR  ;https://www.linkedin.com/company/intaco-costa-rica/people/?facetGeoRegion=ec%3A0
CONAUTO C.A.;https://ec.linkedin.com/company/conauto-c-a-?trk=companies_directory
DISMEDSA CIA.LTDA.;
NEFROCONTROL  ;https://ec.linkedin.com/company/nefrocontrol-s-a-?trk=companies_directory
PRODUCTOS METALURGICOS SA (PROMESA);https://www.linkedin.com/company/productos-metalurgicos-s-a-_-promesa/
MABE ECUADOR  ;
F.V-AREA ANDINA  ;https://www.linkedin.com/company/fv-franz-viegener/
PALMERAS DEL ECUADOR SA;
ASISERVY  ;https://ec.linkedin.com/company/asiservy-s-a?trk=companies_directory
COMERCIAL CARLOS ROLDAN CIA. LTDA.;
CORPORACION PALMAR PALMAR CORP. C.LTDA.;
ECUATORIANA DE SAL Y PRODUCTOS QUIMICOS CA (ECUASAL);https://www.linkedin.com/company/ecuasal/
BIMBO ECUADOR  ;
YANBAL ECUADOR  ;https://www.linkedin.com/company/yanbal/people/?facetGeoRegion=ec%3A0
TERPEL-COMERCIAL ECUADOR CIA.LTDA.;
ALMACENES BOYACA  ;
CORPORACION ECUATORIANA DE ALUMINIO SA CEDAL;
INV MINERALES ECUADOR   INVMINEC;
FOPECA  ;
INVERSANCARLOS  ;
ECUADOR HOLDINGS LIMITED CIA. LTDA. CEN;
PROMOTORES INMOBILIARIOS PRONOBIS  ;https://www.linkedin.com/company/pronobis-ecuador/
AUTOMOTORES CONTINENTAL  S.;https://www.linkedin.com/company/automotorescontinental/
RIPCONCIV CONSTRUCCIONES CIVILES CIA. LTDA.;https://www.linkedin.com/company/ripconciv-cia-ltda/
CRISTALERIA DEL ECUADOR SA CRIDESA;
URBANIZADORA NACIONES UNIDAS SA;
REFERENCECORP  ;
SALUDSA SISTEMA DE MEDICINA PRE-PAGADA DEL ECUADOR  ;https://www.linkedin.com/company/saludsa/
TRIBOILGAS CIA. LTDA.;https://www.linkedin.com/company/triboilgas/
KIMBERLY - CLARK ECUADOR  ;
TIENDEC  ;
AJECUADOR  ;
'TYAZHMASH''  ;https://www.linkedin.com/company/tyazhmash-colombia-sas/people/?facetGeoRegion=ec%3A0
PICA PLASTICOS INDUSTRIALES CA;https://ec.linkedin.com/company/pica-plasticos-industriales-ca?trk=companies_directory
CENTURYLINKECUADOR  ;
PROVEFRUT  ;https://www.linkedin.com/company/provefrut-s-a/
SURAMERICANA DE MOTORES MOTSUR CIA. LTDA.;
SEAFMAN SOCIEDAD ECUATORIANA DE ALIMENTOS Y FRIGORIFICOS MANTA C.A.;https://www.linkedin.com/in/seafman-c-a-43231a191/
VECONSA  ;https://www.linkedin.com/company/veconsa-sa/people/
NOVODREAMS HOLDING CIA. LTDA.;
CONSUR R7H  ;https://www.linkedin.com/company/consurr7h/
TOYOTA DEL ECUADOR  ;
IDEAL ALAMBREC SA;https://www.linkedin.com/company/ideal-alambrec-s.a./people/
GRUPO SUPERIOR  ;https://www.linkedin.com/company/grupo-superior-s-a-/people/?facetGeoRegion=ec%3A0
BAKER HUGHES SERVICES INTERNATIONAL LLC.;
LAMINADOS Y TEXTILES LAMITEX S. A.;https://www.linkedin.com/company/lamitex/people/?facetGeoRegion=ec%3A0
SINOHYDRO CORPORATION;https://www.linkedin.com/company/sinohydro/people/?facetGeoRegion=ec%3A0
TECNOVA  ;https://www.linkedin.com/company/tecnova-ecuador/
DISTRIBUIDORA IMPORTADORA DIPOR SA;https://www.linkedin.com/company/dipor/people/
ELECTROCABLES C.A.;https://ec.linkedin.com/company/electrocables-c-a?trk=companies_directory
CORPORACION JARRIN HERRERA CIA. LTDA.;
MODERMAR  ;
FLEXIPLAST  ;https://www.linkedin.com/company/flexiplast-s-a/
OLAM ECUADOR  ;
LAN CARGO  ;
INDUSTRIAL PESQUERA IBEROAMERICANA   IBEROPESCA;
CORPORACIÓN FERNÁNDEZ CORPFERNANDEZ  ;https://www.linkedin.com/company/corporacion-fernandez/
FERRO TORRE  ;
LABORATORIOS SIEGFRIED  ;https://www.linkedin.com/company/laboratorios-siegfried.-s.a.s/people/?facetGeoRegion=ec%3A0
CHINA CAMC ENGINEERING CO., LTD.;https://www.linkedin.com/company/china-camc-engineering-co-ltd/people/?facetGeoRegion=ec%3A0
CORPORACION NEXUM NEXUMCORP  ;
INMOBILIARIA NUEVO CARAPUNGO INMOCARAPUNGO  ;
FARMAGRO  ;https://www.linkedin.com/company/farmagro/people/?facetGeoRegion=ec%3A0
JABONERIA WILSON SA;https://www.linkedin.com/company/jaboneriawilson/
DITECA  ;https://ec.linkedin.com/company/ditecakomatsu?trk=companies_directory
TRANSMARINA CA;https://www.linkedin.com/company/transmarina-c-a-/
MOCANATI CIA.LTDA.;
UNION DE BANANEROS ECUATORIANOS SA UBESA;
INDEUREC  ;https://ec.linkedin.com/company/indeurec-?trk=companies_directory
INDUSTRIA ECUATORIANA PRODUCTORA DE ALIMENTOS CA INEPACA;https://www.linkedin.com/company/inepaca/people/?facetGeoRegion=ec%3A0
INDUSTRIAL SURINDU  ;
VALLEJO ARAUJO  ;https://www.linkedin.com/company/vallejo-araujo/
INVERSION Y DESARROLLO INVEDE  ;
HOLDINGPESA  ;
ORION ENERGY OCANOPB  ;
INDUSTRIAL INMOBILIARIA TEOTON SA;
EMPRESA ESTATAL UNITARIA ''UNION DE EMPRESAS PRODUCTORAS BELORUSNEFT'';
CADENA ECUATORIANA DE TELEVISION CA CANAL 10 CETV;
AVIPECHICHAL  ;
CONSTRUMERCADO  ;
SIMED  ;https://www.linkedin.com/company/simed/
ETICA EMPRESA TURISTICA INTERNACIONAL CA;
HELGEVAL  ;
SABROSTAR FRUIT COMPANY  ;
PESQUERA UGAVI  ;
UPFIELD ECUADOR CIA.LTDA.;
MARZAM CIA. LTDA.;https://www.linkedin.com/company/corporacionmarzamcialtda/
ALVAREZ LARREA EQUIPOS MEDICOS ALEM CIA. LTDA.;https://www.linkedin.com/company/alem-cia-ltda/
JOHNSON & JOHNSON DEL ECUADOR SA;
COLGATE PALMOLIVE DEL ECUADOR SOCIEDAD ANONIMA INDUSTRIAL Y COMERCIAL;
BOPP DEL ECUADOR  ;https://www.linkedin.com/company/bopp-del-ecuador/
PEPSICO ALIMENTOS ECUADOR CIA. LTDA.;
LACTEOS SAN ANTONIO CA;https://www.linkedin.com/company/nutri-lacteossanantonio/
PINTURAS CONDOR SA;https://www.linkedin.com/company/pinturas-condor-s-a-/people/
CONSTRUCTORA CIUDADRODRIGO  ;
COLINEAL CORPORATION CIA. LTDA.;https://www.linkedin.com/company/colinealcorp/
CORPORACION AGRICOLA SAN JUAN C.A CASJUCA;
NIPRO MEDICAL CORPORATION;https://www.linkedin.com/company/nipro-medical-corporation/
GALAPESCA  ;
SONINO  ;https://www.linkedin.com/company/sonino/about/
HILONG OIL SERVICE & ENGINEERING ECUADOR CIA. LTDA.;
TRANSPORTES NOROCCIDENTAL CIA. LTDA.;
MOLINOS CHAMPION   MOCHASA;https://www.linkedin.com/company/molinos-champion/
PRODUCTOS PARAISO DEL ECUADOR SA;https://www.linkedin.com/company/productos-para%C3%ADso-del-ecuador/
INDUSTRIA NACIONAL DE ENSAMBLAJES   INNACENSA;
INMOBILIARIA PIEDRA HUASI  ;
INMOBILIARIA COSTAZUL   INMOCOSTAZUL;
NOVARTIS ECUADOR  ;
SUCESORES DE JACOBO PAREDES M.  ;
AMBACAR CIA. LTDA.;https://www.linkedin.com/company/ambacar-colombia/people/?facetGeoRegion=ec%3A0
OCEANBAT  ;https://www.linkedin.com/company/oceanbaths/people/
TECNOMEGA C.A.;https://ec.linkedin.com/company/tecnomega-c-a-?trk=companies_directory
AGRICOLAS UNIDAS DEL SUR SA AUSURSA;
HEINEKEN ECUADOR  ;https://www.linkedin.com/company/heinekenecuador/
PROVEFARMA  ;https://www.linkedin.com/company/provefarma-s-a-/people/?facetGeoRegion=ec%3A0
IMPRENTA MARISCAL CIA LTDA;
LEIMAGENCORP  ;
DIRECTV ECUADOR C. LTDA.;
CIUDAD DEL AUTO CIAUTO CIA. LTDA.;https://www.linkedin.com/company/ciauto/about/
FERRERO DEL ECUADOR  ;
CENTRO COMERCIAL EL CONDADO SA;
HOLCIM AGREGADOS  ;
LIMBOMAR  ;https://ec.linkedin.com/company/limbomar-?trk=companies_directory
ENI ECUADOR  ;https://www.linkedin.com/company/eniecuador/
ABBOTT LABORATORIOS DEL ECUADOR CIA. LTDA.;
DURAGAS SA;https://www.linkedin.com/company/duragas/
MONDELEZ ECUADOR C. LTDA.;
PRODUCTORA MAR VIVO   PROMARVI;
CORPORACION CFC  ;
COFIMAR  ;https://ec.linkedin.com/company/cofimarec?trk=companies_directory
HIVIMAR  ;https://www.linkedin.com/company/hivimar/
SUMIFRU ECUADOR  ;
DIPAC MANTA  ;https://www.linkedin.com/company/dipac-manta/
PINTURAS UNIDAS  ;https://www.linkedin.com/company/pinturasunidas/
TELEVISION Y VENTAS TELEVENT  ;
EMPRESA ELECTRICA AZOGUES C.A.;
PRODUCTOS PERECIBLES Y MARISCOS PROPEMAR  ;https://www.linkedin.com/company/propemar-s-a/
INTERMEDIARIA DE VENTAS SUPER BAHIA SUBAHI SOCIEDAD ANONIMA;
CONSORCIO DEL PICHINCHA   CONDELPI;
IMPORTADORA INDUSTRIAL AGRICOLA DEL MONTE SOCIEDAD ANONIMA INMONTE;
INPROEL  ;https://www.linkedin.com/company/inproel-s.a./
BRENNTAG ECUADOR  ;
INDUSTRIA ECUATORIANA DE CABLES INCABLE  ;https://www.linkedin.com/company/industria-ecuatoriana-de-cables-incable-s-a-/
SODERAL SOCIEDAD DE DESTILACION DE ALCOHOLES  ;https://www.linkedin.com/company/soderal/
PREDIMASA PREDIAL DIANA MARIA SA;
NUEVAS OPERACIONES COMERCIALES (NUCOPSA)  ;https://www.linkedin.com/company/nucopsa-s-a-nuevas-operaciones-comerciales-s-a/
POLLO FAVORITO SA POFASA;
BMI IGUALAS MEDICAS DEL ECUADOR  ;https://www.linkedin.com/company/bmi-ecuador/
INVERNEG  ;https://www.linkedin.com/company/inverneg-sa/
DELI INTERNACIONAL  ,;
ITALPISOS SA;https://www.linkedin.com/company/italpisosec/
ECUADORFORTESCUE  ;
PETROLEOS SUD AMERICANOS DEL ECUADOR PETROLAMEREC  ;
ECUASTOCK  ;https://www.linkedin.com/company/ecuastock-com/people/
